,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Distrito
274,01/06/21,14.7,0.8%,0.5%,-0.1%,Abando
275,01/05/21,14.5,0.2%,-0.5%,-0.8%,Abando
276,01/04/21,14.5,-0.5%,-0.7%,-0.8%,Abando
277,01/03/21,14.6,-0.2%,-0.5%,-0.6%,Abando
278,01/02/21,14.6,n.d.,-1.6%,-2.6%,Abando
279,01/01/21,14.6,-0.3%,-2.6%,2.3%,Abando
280,01/12/20,14.7,-1.3%,n.d.,"5,00%",Abando
281,01/11/20,14.9,"-1,00%","1,00%",7.7%,Abando
282,01/10/20,15.0,2.4%,1.4%,10.9%,Abando
283,01/09/20,14.7,-0.3%,-0.1%,8.3%,Abando
284,01/08/20,14.7,-0.6%,0.3%,8.4%,Abando
285,01/07/20,14.8,0.8%,1.1%,9.9%,Abando
286,01/06/20,14.7,n.d.,n.d.,7.6%,Abando
287,01/05/20,14.7,0.2%,-2.2%,7.6%,Abando
288,01/04/20,14.6,-0.2%,2.4%,7.6%,Abando
289,01/03/20,14.7,-2.2%,5.1%,5.3%,Abando
290,01/02/20,15.0,"5,00%",8.8%,8.8%,Abando
291,01/01/20,14.3,2.4%,5.6%,0.8%,Abando
292,01/12/19,14.0,1.2%,3.1%,-1.2%,Abando
293,01/11/19,13.8,1.9%,1.6%,-3.4%,Abando
294,01/10/19,13.5,n.d.,0.5%,-4.5%,Abando
295,01/09/19,13.5,-0.3%,-0.8%,-1.7%,Abando
296,01/08/19,13.6,0.8%,-0.5%,"-2,00%",Abando
297,01/07/19,13.5,-1.3%,-1.1%,"1,00%",Abando
298,01/06/19,13.6,n.d.,-2.1%,2.3%,Abando
299,01/05/19,13.6,0.2%,-1.1%,3.8%,Abando
300,01/04/19,13.6,-2.3%,"-4,00%",0.4%,Abando
301,01/03/19,13.9,"1,00%",-1.3%,5.4%,Abando
302,01/02/19,13.8,-2.6%,-3.4%,7.3%,Abando
303,01/01/19,14.2,0.3%,n.d.,7.3%,Abando
304,01/12/18,14.1,-1.2%,2.5%,4.6%,Abando
305,01/11/18,14.3,0.8%,3.2%,6.2%,Abando
306,01/10/18,14.2,2.9%,6.3%,"7,00%",Abando
